Ticker,Name,Last,Chg %,Chg,Vol,Vol $,M Cap,Time,Chg % Numeric,Vol Raw,Vol Numeric,Vol $ Raw,Vol $ Numeric,M Cap Raw,M Cap Numeric,Last Numeric,Chg Numeric
TLRY,Tilray Brands Inc,1.96,13.9,0.24,301.8M,591.6M,2.1B,17:43:41,13.9,301.8M,301800000.0,591.6M,591600000.0,2.1B,2100000000.0,1.96,0.24
NVDA,NVIDIA Corp,192.74,1.9,3.63,182.7M,35.2B,4.7T,17:43:48,1.9,182.7M,182700000.0,35.2B,35200000000.0,4.7T,0.0,192.74,3.63
PLUG,Plug Power Inc,3.78,3.4,0.12,165.3M,623.2M,3.4B,17:43:44,3.4,165.3M,165300000.0,623.2M,623200000.0,3.4B,3400000000.0,3.78,0.12
RGTI,Rigetti Computing Inc,47.06,8.9,3.83,154.9M,7.3B,13.3B,17:43:41,8.9,154.9M,154900000.0,7.3B,7300000000.0,13.3B,13300000000.0,47.06,3.83
BBAI,BigBear.ai Holdings Inc,7.46,2.4,0.17,153.0M,1.1B,1.9B,17:43:49,2.4,153.0M,153000000.0,1.1B,1100000000.0,1.9B,1900000000.0,7.46,0.17
NVTS,Navitas Semiconductor Corp,7.95,2.7,0.21,122.7M,975.6M,1.5B,17:43:28,2.7,122.7M,122700000.0,975.6M,975600000.0,1.5B,1500000000.0,7.95,0.21
LAES,SEALSQ Corp,5.85,34.2,1.49,119.4M,698.6M,594.0M,17:43:49,34.2,119.4M,119400000.0,698.6M,698600000.0,594.0M,594000000.0,5.85,1.49
DNN,Denison Mines Corp,2.83,-1.1,-0.03,113.8M,322.1M,1.8B,17:42:27,-1.1,113.8M,113800000.0,322.1M,322100000.0,1.8B,1800000000.0,2.83,-0.03
BITF,Bitfarms Ltd.,4.25,6.2,0.25,107.1M,455.2M,2.0B,17:43:48,6.2,107.1M,107100000.0,455.2M,455200000.0,2.0B,2000000000.0,4.25,0.25
SNAP,Snap Inc,8.39,-0.5,-0.04,101.7M,853.1M,14.2B,17:43:39,-0.5,101.7M,101700000.0,853.1M,853100000.0,14.2B,14200000000.0,8.39,-0.04
AAL,American Airlines Group Inc,11.63,-1.5,-0.18,101.4M,1.2B,7.6B,17:42:56,-1.5,101.4M,101400000.0,1.2B,1200000000.0,7.6B,7600000000.0,11.63,-0.18
PATH,UiPath Inc,18.82,20.8,3.24,99.4M,1.9B,10.4B,17:43:42,20.8,99.4M,99400000.0,1.9B,1900000000.0,10.4B,10400000000.0,18.82,3.24
AMD,Advanced Micro Devices Inc.,233.85,-0.7,-1.71,94.1M,22.0B,379.4B,17:43:47,-0.7,94.1M,94100000.0,22.0B,22000000000.0,379.4B,379400000000.0,233.85,-1.71
OPEN,Opendoor Technologies Inc,8.17,-3.8,-0.32,92.5M,754.8M,5.9B,17:43:49,-3.8,92.5M,92500000.0,754.8M,754800000.0,5.9B,5900000000.0,8.17,-0.32
INTC,Intel Corp.,37.68,0.7,0.25,89.5M,3.4B,163.2B,17:43:38,0.7,89.5M,89500000.0,3.4B,3400000000.0,163.2B,163200000000.0,37.68,0.25
SERV,Serve Robotics Inc,17.75,29.1,4.00,72.2M,1.3B,910.4M,17:43:37,29.1,72.2M,72200000.0,1.3B,1300000000.0,910.4M,910400000.0,17.75,4.0
F,Ford Motor Co.,11.52,-1.9,-0.22,70.3M,809.5M,45.7B,17:43:22,-1.9,70.3M,70300000.0,809.5M,809500000.0,45.7B,45700000000.0,11.52,-0.22
TSLA,Tesla Inc,435.77,-0.7,-2.92,69.2M,30.1B,1.4T,17:43:49,-0.7,69.2M,69200000.0,30.1B,30100000000.0,1.4T,0.0,435.77,-2.92
QS,QuantumScape Corp,15.20,-0.8,-0.13,68.5M,1.0B,8.2B,17:43:14,-0.8,68.5M,68500000.0,1.0B,1000000000.0,8.2B,8199999999.999999,15.2,-0.13
SOFI,SoFi Technologies Inc,28.39,1.3,0.37,66.8M,1.9B,31.1B,17:43:44,1.3,66.8M,66800000.0,1.9B,1900000000.0,31.1B,31100000000.0,28.39,0.37
QBTS,D-Wave Quantum Inc,35.16,2.7,0.91,66.0M,2.3B,9.4B,17:43:49,2.7,66.0M,66000000.0,2.3B,2300000000.0,9.4B,9400000000.0,35.16,0.91
NIO,NIO Inc,7.50,-4.5,-0.35,64.8M,485.8M,17.4B,17:43:35,-4.5,64.8M,64800000.0,485.8M,485800000.0,17.4B,17400000000.0,7.5,-0.35
BTG,B2gold Corp,5.07,-5.6,-0.30,63.4M,321.5M,6.7B,17:40:44,-5.6,63.4M,63400000.0,321.5M,321500000.0,6.7B,6700000000.0,5.07,-0.3
NU,Nu Holdings Ltd,15.45,-0.1,-0.01,61.5M,950.3M,74.4B,17:41:14,-0.1,61.5M,61500000.0,950.3M,950300000.0,74.4B,74400000000.0,15.45,-0.01
ABEV,Ambev S.A.,2.15,-0.9,-0.02,59.7M,128.4M,33.5B,17:42:45,-0.9,59.7M,59700000.0,128.4M,128400000.0,33.5B,33500000000.0,2.15,-0.02
BBD,Banco Bradesco S.A.,3.16,-0.3,-0.01,58.0M,183.2M,16.7B,17:25:38,-0.3,58.0M,58000000.0,183.2M,183200000.0,16.7B,16700000000.0,3.16,-0.01
IREN,IREN Ltd.,64.85,7.9,4.76,57.7M,3.7B,16.7B,17:43:48,7.9,57.7M,57700000.0,3.7B,3700000000.0,16.7B,16700000000.0,64.85,4.76
BULL,Webull Corp.,12.66,0.0,0.00,56.7M,718.3M,5.8B,17:43:30,0.0,56.7M,56700000.0,718.3M,718300000.0,5.8B,5800000000.0,12.66,0.0
RR,Richtech Robotics Inc.,6.51,-4.4,-0.30,54.7M,355.8M,610.2M,17:43:04,-4.4,54.7M,54700000.0,355.8M,355800000.0,610.2M,610200000.0,6.51,-0.3
LAC,Lithium Americas Corp (NewCo),8.08,2.7,0.21,53.4M,431.6M,1.8B,17:43:27,2.7,53.4M,53400000.0,431.6M,431600000.0,1.8B,1800000000.0,8.08,0.21
BTE,Baytex Energy Corp,2.50,-2.2,-0.06,52.5M,131.4M,1.4B,17:33:42,-2.2,52.5M,52500000.0,131.4M,131400000.0,1.4B,1400000000.0,2.5,-0.06
CAN,Canaan Inc,1.23,-3.9,-0.05,51.5M,63.4M,551.3M,17:42:04,-3.9,51.5M,51500000.0,63.4M,63400000.0,551.3M,551300000.0,1.23,-0.05
RXRX,Recursion Pharmaceuticals Inc,5.96,-2.1,-0.13,50.8M,302.6M,2.4B,17:43:37,-2.1,50.8M,50800000.0,302.6M,302600000.0,2.4B,2400000000.0,5.96,-0.13
ACHR,Archer Aviation Inc,12.59,1.0,0.13,50.5M,636.4M,6.3B,17:43:45,1.0,50.5M,50500000.0,636.4M,636400000.0,6.3B,6300000000.0,12.59,0.13
CIFR,Cipher Mining Inc,18.45,4.8,0.85,50.5M,931.3M,6.5B,17:43:38,4.8,50.5M,50500000.0,931.3M,931300000.0,6.5B,6500000000.0,18.45,0.85
CLSK,Cleanspark Inc,20.63,8.7,1.65,49.9M,1.0B,5.6B,17:43:42,8.7,49.9M,49900000.0,1.0B,1000000000.0,5.6B,5600000000.0,20.63,1.65
MARA,"MARATHON DIGITAL HOLDINGS, INC.",20.25,0.2,0.05,49.3M,999.0M,6.9B,17:43:10,0.2,49.3M,49300000.0,999.0M,999000000.0,6.9B,6900000000.0,20.25,0.05
PFE,Pfizer Inc.,25.29,-1.5,-0.39,47.2M,1.2B,143.3B,17:43:43,-1.5,47.2M,47200000.0,1.2B,1200000000.0,143.3B,143300000000.0,25.29,-0.39
AMZN,Amazon.com Inc.,227.21,0.9,1.99,46.3M,10.5B,2.4T,17:43:49,0.9,46.3M,46300000.0,10.5B,10500000000.0,2.4T,0.0,227.21,1.99
RKT,Rocket Companies Inc,16.32,0.6,0.10,45.8M,747.5M,2.4B,17:43:30,0.6,45.8M,45800000.0,747.5M,747500000.0,2.4B,2400000000.0,16.32,0.1
RIG,Transocean Ltd,3.35,-1.5,-0.05,45.7M,153.2M,2.9B,17:39:14,-1.5,45.7M,45700000.0,153.2M,153200000.0,2.9B,2900000000.0,3.35,-0.05
PLTR,Palantir Technologies Inc,185.21,0.9,1.65,45.0M,8.3B,433.2B,17:43:46,0.9,45.0M,45000000.0,8.3B,8300000000.000001,433.2B,433200000000.0,185.21,1.65
SOUN,SoundHound AI Inc,18.65,-1.2,-0.23,44.8M,837.1M,7.4B,17:43:48,-1.2,44.8M,44800000.0,837.1M,837100000.0,7.4B,7400000000.0,18.65,-0.23
WULF,TeraWulf Inc,14.21,15.5,1.91,44.0M,625.8M,5.5B,17:43:49,15.5,44.0M,44000000.0,625.8M,625800000.0,5.5B,5500000000.0,14.21,1.91
CLF,Cleveland-Cliffs Inc,14.22,2.3,0.32,43.9M,624.6M,7.0B,17:42:45,2.3,43.9M,43900000.0,624.6M,624600000.0,7.0B,7000000000.0,14.22,0.32
CRML,Critical Metals Corp.,14.75,25.1,2.96,43.7M,644.0M,1.2B,17:43:19,25.1,43.7M,43700000.0,644.0M,644000000.0,1.2B,1200000000.0,14.75,2.96
QUBT,Quantum Computing Inc,21.32,2.4,0.50,43.5M,927.8M,2.8B,17:43:51,2.4,43.5M,43500000.0,927.8M,927800000.0,2.8B,2800000000.0,21.32,0.5
ONDS,Ondas Holdings Inc,10.45,-7.2,-0.81,43.2M,451.7M,973.7M,17:43:50,-7.2,43.2M,43200000.0,451.7M,451700000.0,973.7M,973700000.0,10.45,-0.81
VALE,Vale S.A.,11.05,-0.5,-0.05,42.5M,469.2M,47.2B,17:39:17,-0.5,42.5M,42500000.0,469.2M,469200000.0,47.2B,47200000000.0,11.05,-0.05
APLD,Applied Digital Corporation,33.16,18.7,5.22,42.3M,1.4B,7.5B,17:43:51,18.7,42.3M,42300000.0,1.4B,1400000000.0,7.5B,7500000000.0,33.16,5.22
JOBY,Joby Aviation Inc,17.07,-1.7,-0.30,40.3M,688.8M,13.4B,17:43:47,-1.7,40.3M,40300000.0,688.8M,688800000.0,13.4B,13400000000.0,17.07,-0.3
