Ticker,Name,Last,Chg %,Chg,Vol,Vol $,M Cap,Time,Chg % Numeric,Vol Raw,Vol Numeric,Vol $ Raw,Vol $ Numeric,M Cap Raw,M Cap Numeric,Last Numeric,Chg Numeric
OPEN,Opendoor Technologies Inc,8.60,-7.4,-0.69,205.2M,1.8B,6.2B,18:59:57,-7.4,205.2M,205200000.0,1.8B,1800000000.0,6.2B,6200000000.0,8.6,-0.69
RGTI,Rigetti Computing Inc,43.67,-0.6,-0.24,166.6M,7.3B,12.4B,18:59:59,-0.6,166.6M,166600000.0,7.3B,7300000000.0,12.4B,12400000000.0,43.67,-0.24
BULL,Webull Corp.,13.09,2.3,0.29,164.7M,2.2B,6.0B,18:59:59,2.3,164.7M,164700000.0,2.2B,2200000000.0,6.0B,6000000000.0,13.09,0.29
AMD,Advanced Micro Devices Inc.,240.85,13.9,29.34,160.0M,38.5B,390.7B,18:59:59,13.9,160.0M,160000000.0,38.5B,38500000000.0,390.7B,390700000000.0,240.85,29.34
PLUG,Plug Power Inc,3.65,-5.7,-0.22,149.1M,544.2M,3.3B,18:59:59,-5.7,149.1M,149100000.0,544.2M,544200000.0,3.3B,3300000000.0,3.65,-0.22
SNAP,Snap Inc,8.45,3.9,0.32,134.8M,1.1B,14.3B,18:59:46,3.9,134.8M,134800000.0,1.1B,1100000000.0,14.3B,14300000000.0,8.45,0.32
NVDA,NVIDIA Corp,189.22,2.3,4.17,130.2M,24.6B,4.6T,18:59:58,2.3,130.2M,130199999.99999999,24.6B,24600000000.0,4.6T,0.0,189.22,4.17
DNN,Denison Mines Corp,2.87,0.7,0.02,125.3M,359.6M,1.8B,18:59:48,0.7,125.3M,125300000.0,359.6M,359600000.0,1.8B,1800000000.0,2.87,0.02
BBAI,BigBear.ai Holdings Inc,7.29,-2.0,-0.15,120.3M,876.7M,1.8B,18:59:52,-2.0,120.3M,120300000.0,876.7M,876700000.0,1.8B,1800000000.0,7.29,-0.15
BITF,Bitfarms Ltd.,4.05,16.7,0.58,116.2M,470.5M,1.9B,18:59:57,16.7,116.2M,116200000.0,470.5M,470500000.0,1.9B,1900000000.0,4.05,0.58
JOBY,Joby Aviation Inc,17.50,-7.5,-1.41,115.0M,2.0B,13.7B,18:59:57,-7.5,115.0M,115000000.0,2.0B,2000000000.0,13.7B,13700000000.0,17.5,-1.41
TLRY,Tilray Brands Inc,1.72,0.6,0.01,111.3M,191.4M,1.8B,18:59:57,0.6,111.3M,111300000.0,191.4M,191400000.0,1.8B,1800000000.0,1.72,0.01
INTC,Intel Corp.,37.57,1.1,0.40,103.2M,3.9B,162.7B,18:59:58,1.1,103.2M,103200000.0,3.9B,3900000000.0,162.7B,162700000000.0,37.57,0.4
SOUN,SoundHound AI Inc,18.96,4.2,0.76,100.3M,1.9B,7.5B,18:59:59,4.2,100.3M,100300000.0,1.9B,1900000000.0,7.5B,7500000000.0,18.96,0.76
RXRX,Recursion Pharmaceuticals Inc,6.14,17.4,0.91,94.2M,578.4M,2.4B,18:59:40,17.4,94.2M,94200000.0,578.4M,578400000.0,2.4B,2400000000.0,6.14,0.91
ACHR,Archer Aviation Inc,12.36,-1.0,-0.12,88.7M,1.1B,6.2B,18:59:36,-1.0,88.7M,88700000.0,1.1B,1100000000.0,6.2B,6200000000.0,12.36,-0.12
SOFI,SoFi Technologies Inc,28.12,-0.1,-0.02,84.6M,2.4B,30.8B,18:59:57,-0.1,84.6M,84600000.0,2.4B,2400000000.0,30.8B,30800000000.0,28.12,-0.02
QS,QuantumScape Corp,15.39,0.4,0.06,84.5M,1.3B,8.3B,18:59:55,0.4,84.5M,84500000.0,1.3B,1300000000.0,8.3B,8300000000.000001,15.39,0.06
